subject,object,predicate
Imperial Oil,business,IS_A
Imperial Oil,petroleum industry,IN_INDUSTRY
Imperial Oil,corporation,IS_A
Imperial Oil,Toronto Stock Exchange,TRADES_ON
Imperial Oil,ExxonMobil,OWNED_BY
Maersk Oil,business,IS_A
Maersk Oil,petroleum industry,IN_INDUSTRY
Odebrecht,business,IS_A
Odebrecht,enterprise,IS_A
Odebrecht,petroleum industry,IN_INDUSTRY
Odebrecht,joint-stock company,IS_A
Apache Corporation,business,IS_A
Apache Corporation,enterprise,IS_A
Apache Corporation,petroleum industry,IN_INDUSTRY
Apache Corporation,Natural Resources,IN_INDUSTRY
Apache Corporation,public company,IS_A
Apache Corporation,New York Stock Exchange,TRADES_ON
Energopetrol,public company,IS_A
Energopetrol,petroleum industry,IN_INDUSTRY
Energopetrol,joint-stock company,IS_A
JXTG Holdings,public company,IS_A
JXTG Holdings,holding company,IS_A
JXTG Holdings,petroleum industry,IN_INDUSTRY
JXTG Holdings,kabushiki gaisha,IS_A
JXTG Holdings,Tokyo Stock Exchange,TRADES_ON
JXTG Holdings,Japan Trustee Services Bank,OWNED_BY
BP,business,IS_A
BP,enterprise,IS_A
BP,petroleum industry,IN_INDUSTRY
BP,Burmah Oil,WAS_PREVIOUSLY
BP,Anglo-Persian Oil Company,WAS_PREVIOUSLY
BP,public limited company,IS_A
BP,public company,IS_A
BP,New York Stock Exchange,TRADES_ON
BP,London Stock Exchange,TRADES_ON
BP,Frankfurt Stock Exchange,TRADES_ON
BP,Tokyo Stock Exchange,TRADES_ON
Total S.A.,multinational corporation,IS_A
Total S.A.,business,IS_A
Total S.A.,petroleum industry,IN_INDUSTRY
Total S.A.,energy,IN_INDUSTRY
Total S.A.,société anonyme,IS_A
Total S.A.,New York Stock Exchange,TRADES_ON
Total S.A.,Euronext Paris,TRADES_ON
Total S.A.,London Stock Exchange,TRADES_ON
Total S.A.,Brussels Stock Exchange,TRADES_ON
Total S.A.,BlackRock,OWNED_BY
Total S.A.,FCPE Total Actionnariat France,OWNED_BY
Total S.A.,BlackRock,OWNED_BY
Total S.A.,Baku–Tbilisi–Ceyhan pipeline,OWNER_OF
Total S.A.,Norpipe,OWNER_OF
Total S.A.,Oseberg Transport System,OWNER_OF
Total S.A.,NOGAT Pipeline System,OWNER_OF
Total S.A.,Ninian pipeline,OWNER_OF
Total S.A.,Abu Dhabi Company for Onshore Oil Operations,OWNER_OF
Total S.A.,Abu Dhabi Gas Industries Limited,OWNER_OF
Total S.A.,Halfaya Field,OWNER_OF
Total S.A.,Novatek,OWNER_OF
Royal Dutch Shell,business,IS_A
Royal Dutch Shell,enterprise,IS_A
Royal Dutch Shell,petroleum industry,IN_INDUSTRY
Royal Dutch Shell,Enterprise Oil,WAS_PREVIOUSLY
Royal Dutch Shell,public limited company,IS_A
Royal Dutch Shell,London Stock Exchange,TRADES_ON
Royal Dutch Shell,Euronext,TRADES_ON
Royal Dutch Shell,New York Stock Exchange,TRADES_ON
Royal Dutch Shell,BlackRock,OWNED_BY
Royal Dutch Shell,Capital Group Companies,OWNED_BY
Royal Dutch Shell,Showa Shell Sekiyu,OWNER_OF
Royal Dutch Shell,Brunei LNG,OWNER_OF
Royal Dutch Shell,Motiva Enterprises,OWNER_OF
Royal Dutch Shell,Oman LNG,OWNER_OF
Royal Dutch Shell,Sakhalin Energy,OWNER_OF
ExxonMobil,public company,IS_A
ExxonMobil,business,IS_A
ExxonMobil,enterprise,IS_A
ExxonMobil,petroleum industry,IN_INDUSTRY
ExxonMobil,Exxon,WAS_PREVIOUSLY
ExxonMobil,Mobil,WAS_PREVIOUSLY
ExxonMobil,corporation,IS_A
ExxonMobil,New York Stock Exchange,TRADES_ON
ExxonMobil,The Vanguard Group,OWNED_BY
ExxonMobil,State Street Corporation,OWNED_BY
ExxonMobil,BlackRock,OWNED_BY
ADNOC,government-owned corporation,IS_A
