subject,object,predicate
East Seaham,locality,IS_A
East Seaham,suburb,IS_A
East Seaham,Australia,IS_LOCATED_IN
East Seaham,324,HAS_POPULATION
East Seaham,2324,HAS_POSTCODE
East Seaham,lat:-32.64,HAS_COORDINATES
East Seaham,lon:151.748,HAS_COORDINATES
East Tamworth,locality,IS_A
East Tamworth,suburb,IS_A
East Tamworth,Australia,IS_LOCATED_IN
East Tamworth,5342,HAS_POPULATION
East Tamworth,2340,HAS_POSTCODE
East Tamworth,lat:-31.0897,HAS_COORDINATES
East Tamworth,lon:150.944,HAS_COORDINATES
East Wagga Wagga,suburb,IS_A
East Wagga Wagga,Australia,IS_LOCATED_IN
East Wagga Wagga,237,HAS_POPULATION
East Wagga Wagga,2650,HAS_POSTCODE
East Wagga Wagga,lat:-35.1212,HAS_COORDINATES
East Wagga Wagga,lon:147.385,HAS_COORDINATES
Eastgardens,suburb,IS_A
Eastgardens,Australia,IS_LOCATED_IN
Eastgardens,860,HAS_POPULATION
Eastgardens,2036,HAS_POSTCODE
Eastgardens,lat:-33.946,HAS_COORDINATES
Eastgardens,lon:151.225,HAS_COORDINATES
Eastlakes,suburb,IS_A
Eastlakes,Australia,IS_LOCATED_IN
Eastlakes,6912,HAS_POPULATION
Eastlakes,2018,HAS_POSTCODE
Eastlakes,lat:-33.925,HAS_COORDINATES
Eastlakes,lon:151.213,HAS_COORDINATES
Edensor Park,suburb,IS_A
Edensor Park,Australia,IS_LOCATED_IN
Edensor Park,9772,HAS_POPULATION
Edensor Park,2176,HAS_POSTCODE
Edensor Park,lat:-33.88095,HAS_COORDINATES
Edensor Park,lon:150.87516,HAS_COORDINATES
Edgeworth,suburb,IS_A
Edgeworth,Australia,IS_LOCATED_IN
Edgeworth,6207,HAS_POPULATION
Edgeworth,2285,HAS_POSTCODE
Edgeworth,lat:-32.915,HAS_COORDINATES
Edgeworth,lon:151.618,HAS_COORDINATES
Elanora Heights,suburb,IS_A
Elanora Heights,Australia,IS_LOCATED_IN
Elanora Heights,4357,HAS_POPULATION
Elanora Heights,2101,HAS_POSTCODE
Elanora Heights,lat:-33.701,HAS_COORDINATES
Elanora Heights,lon:151.279,HAS_COORDINATES
Elderslie,suburb,IS_A
Elderslie,Australia,IS_LOCATED_IN
Elderslie,6005,HAS_POPULATION
Elderslie,2570,HAS_POSTCODE
Elderslie,lat:-34.0546,HAS_COORDINATES
Elderslie,lon:150.712,HAS_COORDINATES
Eleebana,suburb,IS_A
Eleebana,Australia,IS_LOCATED_IN
Eleebana,5760,HAS_POPULATION
Eleebana,2282,HAS_POSTCODE
Eleebana,lat:-32.996,HAS_COORDINATES
Eleebana,lon:151.635,HAS_COORDINATES
Elermore Vale,locality,IS_A
Elermore Vale,suburb,IS_A
Elermore Vale,Australia,IS_LOCATED_IN
Elermore Vale,5526,HAS_POPULATION
Elermore Vale,2287,HAS_POSTCODE
Elermore Vale,lat:-32.915,HAS_COORDINATES
Elermore Vale,lon:151.668,HAS_COORDINATES
Ellis Lane,suburb,IS_A
Ellis Lane,Australia,IS_LOCATED_IN
Ellis Lane,857,HAS_POPULATION
Ellis Lane,2570,HAS_POSTCODE
Ellis Lane,lat:-34.034,HAS_COORDINATES
Ellis Lane,lon:150.675,HAS_COORDINATES
Elvina Bay,suburb,IS_A
Elvina Bay,Australia,IS_LOCATED_IN
Elvina Bay,86,HAS_POPULATION
Elvina Bay,2105,HAS_POSTCODE
Elvina Bay,lat:-33.6395,HAS_COORDINATES
Elvina Bay,lon:151.278,HAS_COORDINATES
Emerton,suburb,IS_A
Emerton,Australia,IS_LOCATED_IN
Emerton,2252,HAS_POPULATION
Emerton,2770,HAS_POSTCODE
Emerton,lat:-33.75,HAS_COORDINATES
Emerton,lon:150.803,HAS_COORDINATES
Empire Bay,suburb,IS_A
Empire Bay,Australia,IS_LOCATED_IN
Empire Bay,2400,HAS_POPULATION
Empire Bay,2257,HAS_POSTCODE
Empire Bay,lat:-33.49,HAS_COORDINATES
Empire Bay,lon:151.36,HAS_COORDINATES
Enfield,suburb,IS_A
Enfield,Australia,IS_LOCATED_IN
Enfield,2833,HAS_POPULATION
Enfield,2136,HAS_POSTCODE
Enfield,lat:-33.890588888889,HAS_COORDINATES
Enfield,lon:151.09246111111,HAS_COORDINATES
Engadine,suburb,IS_A
Engadine,Australia,IS_LOCATED_IN
Engadine,16867,HAS_POPULATION
