7-Eleven Adamstown_P98,'[(39963.636287660534, 7313.532954264911), (40223.39999086173, 7314.986134502387), (132432.02485841137, 9431.06031434638), (40221.02212705622, 7314.989683942495), (21.499398036074886, 7301.776234063539), (39.7350640457041, 7305.273468802308)]'
7-Eleven Albion Park Rail_P98,'[(16210.139129236904, 6805.3292024180155), (16202.877443519345, 6806.696829735261), (76528.40908278292, 8836.107134837232), (16203.502400553838, 6806.751943624149), (1.6536999075182033, 6816.925894955616), (0, 0)]'
7-Eleven Argenton_P98,'[(40236.173260039286, 7300.372138086046), (39788.77662189112, 7301.557985262469), (130458.77835757045, 9404.348012902059), (39783.422814669764, 7301.557426812638), (22.12749419915357, 7288.20686084216), (32.343686763825225, 7292.013747548486)]'
7-Eleven Arncliffe_P98,'[(17896.795085703256, 6963.860201381656), (17868.159741594565, 6963.8326094156), (77146.8462452359, 8852.460331205695), (17870.81290857692, 6964.018862804074), (1.7339078782292703, 6978.7927907908925), (0, 0)]'
7-Eleven Arndell Park_P98,'[(53447.7206936068, 7859.254801543484), (53443.62221689519, 7861.097026963789), (112070.04383197741, 9217.185840837714), (53443.68129272711, 7861.097281465767), (23.464985520159214, 7856.511262164138), (158.58108040272018, 7858.600799363283)]'
BP Carss Park_P98,'[(13637.399920995585, 6604.77027013525), (13630.532576866133, 6606.149659210745), (67496.49626006733, 8678.418745713114), (13630.855247051712, 6606.177995348229), (1.9623221799802362, 6614.437427631694), (0, 0)]'
BP Connect Caringbah_P98,'[(15671.027061349663, 6780.5444121842465), (15652.904888981075, 6781.0489229616505), (69904.25676044503, 8723.840860279115), (15652.900325534321, 6781.048526636354), (1.9232813996444338, 6792.94705416902), (0, 0)]'
BP Connect Mortdale_P98,'[(15686.414031148277, 6785.715704679185), (15668.02346865455, 6786.230001265587), (64270.09321978999, 8619.015600190956), (15666.737314263362, 6786.1237145415635), (2.122447669864664, 6799.9759131152605), (0, 0)]'
BP Gymea_P98,'[(34053.08215504747, 7055.260802879785), (34141.51925521648, 7057.232781154213), (183296.79606700223, 9847.935731974638), (34134.1731066395, 7057.231746308116), (21.343754966157825, 7041.87141434355), (0, 0)]'
BP Penshurst_P98,'[(8682.069074402803, 6008.110401689386), (8679.071989569795, 6009.619581604105), (55920.58506290349, 8435.603048914007), (8679.271439901673, 6009.654008065061), (1.0745676257569985, 6012.877173450772), (0, 0)]'
BP South Hurstville_P98,'[(44939.76505254921, 7858.904718342965), (44948.62270334332, 7860.898070058396), (1819186.7440605918, 12871.484098546605), (44951.03758906019, 7860.898119926047), (24.286335091815367, 7845.855569273293), (0, 0)]'
Coles Express Alexandria_P98,'[(50367.47027089206, 7608.417060109041), (50313.622756649456, 7609.9768131191395), (101480.6130613648, 9054.612092685044), (50313.22043135708, 7609.99521561316), (25.40344586243245, 7598.4427691380015), (107.73271747730163, 7601.099873247111)]'
Coles Express Ultimo_P98,'[(50991.74703792801, 7630.651226261845), (51016.84094802958, 7632.5611028335625), (101203.0000630642, 9053.39631478869), (51015.9949647153, 7632.5619490124645), (25.40344586243245, 7620.986069667162), (0, 0)]'
Coles Express Waterloo_P98,'[(12426.714805311314, 6456.153543523411), (12416.372513649358, 6457.040554256961), (72134.71476416923, 8761.42618849531), (12417.298065475834, 6457.140077721077), (2.122447669864651, 6461.3872205671), (0, 0)]'
Coles Express Woolloomooloo_P98,'[(11952.448317921868, 6403.242312588352), (11950.493533679868, 6405.0282323499905), (73698.85434472079, 8788.354656970841), (11950.651361139331, 6405.046075000666), (2.122449333136843, 6407.282866417571), (0, 0)]'
Shell Ballina_P98,'[(36985.093841674476, 7174.170699966158), (37042.440106452785, 7176.158301372227), (183343.86308238172, 9846.714404497192), (37041.72245010558, 7176.158380990648), (21.864681018619457, 7161.104948763041), (0, 0)]'
Shell Bingara_P98,'[(35192.420877414, 7080.479182235495), (35269.11418497221, 7082.464312961054), (120098.46175831722, 9260.155167430552), (35266.70140990499, 7082.464417469513), (20.069076481794486, 7067.5154670733145), (0, 0)]'
