'[''FUEL_BRAND BP'', ''FUEL_BRAND Caltex'', ''FUEL_BRAND Costco'', ''FUEL_BRAND Independent'', ''FUEL_BRAND Liberty'', ''FUEL_BRAND Metro Fuel'', ''FUEL_BRAND Mobil'', ''FUEL_BRAND Park Fuels'', ''FUEL_BRAND Puma Energy'', ''FUEL_BRAND Shell'', ''FUEL_BRAND Speedway'', ''FUEL_BRAND United'', ''HAS_FUEL_TYPE B20'', ''HAS_FUEL_TYPE DL'', ''HAS_FUEL_TYPE E10'', ''HAS_FUEL_TYPE E85'', ''HAS_FUEL_TYPE LNG'', ''HAS_FUEL_TYPE LPG'', ''HAS_FUEL_TYPE P95'', ''HAS_FUEL_TYPE P98'', ''HAS_FUEL_TYPE PDL'', ''HAS_FUEL_TYPE U91'', ''HAS_POPULATION'', ''HAS_POSTCODE'', ''RETAIL_BRAND 7-Eleven'', ''RETAIL_BRAND BP'', ''RETAIL_BRAND Budget'', ''RETAIL_BRAND Caltex'', ''RETAIL_BRAND Caltex Woolworths'', ''RETAIL_BRAND Coles Express'', ''RETAIL_BRAND Costco'', ''RETAIL_BRAND Enhance'', ''RETAIL_BRAND Independent'', ''RETAIL_BRAND Liberty'', ''RETAIL_BRAND Lowes'', ''RETAIL_BRAND Matilda'', ''RETAIL_BRAND Metro Fuel'', ''RETAIL_BRAND Mobil'', ''RETAIL_BRAND Prime Petroleum'', ''RETAIL_BRAND Puma Energy'', ''RETAIL_BRAND Shell'', ''RETAIL_BRAND Speedway'', ''RETAIL_BRAND United'', ''RETAIL_BRAND Westside'']'
7-Eleven Adamstown,'[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 1, 1, 1, -1, ''2289'', 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]'
7-Eleven Albion Park Rail,'[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 1, -1, ''2527'', 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]'
7-Eleven Argenton,'[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 1, ''1351'', ''2284'', 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]'
7-Eleven Arncliffe,'[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 1, 1, ''10590'', ''2205'', 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]'
7-Eleven Arndell Park,'[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 1, 1, ''27'', ''2148'', 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]'
7-Eleven Artarmon,'[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 1, 0, 1, ''9523'', ''2064'', 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]'
7-Eleven Ashfield,'[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 1, 0, ''23841'', ''2131'', 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]'
7-Eleven Bankstown,'[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 1, 1, ''32113'', ''2200'', 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]'
7-Eleven Bathurst,'[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 1, -1, ''2795'', 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]'
7-Eleven Baulkham Hills,'[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 1, 1, 1, ''37050'', ''2153'', 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]'
7-Eleven Belmont North,'[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 1, ''6335'', ''2280'', 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]'
