adf stat,p-value,used lag,nobs,icbest
7-Eleven Adamstown_P98,'-2.310161076474433,0.16871176183211428,6,1267,5797.3318400269'
7-Eleven Albion Park Rail_P98,'-5.070328097435454,1.607840493587062e-05,0,1273,6687.66084819487'
7-Eleven Argenton_P98,'-2.229131612526189,0.19584273496606958,8,1265,5756.986302322155'
7-Eleven Arncliffe_P98,'-5.553203372964312,1.6024251726001941e-06,2,1271,6843.230485323684'
7-Eleven Arndell Park_P98,'-10.37851102581243,2.1696814824320575e-18,0,1273,7004.989460842892'
BP Carss Park_P98,'-4.65942859514025,0.00010022924523874155,0,1273,6491.410436306701'
BP Connect Caringbah_P98,'-5.000539354883391,2.2138671527733943e-05,0,1273,6583.3898091840165'
BP Connect Mortdale_P98,'-6.124140621819773,8.71110419810398e-08,7,1266,6643.201834767666'
BP Gymea_P98,'-13.241498226477304,9.151605563675167e-25,16,1257,4545.1445498881585'
BP Penshurst_P98,'-4.127635018488374,0.0008715223050208616,0,1273,5900.770080456933'
BP South Hurstville_P98,'-1.5363490177858639,0.5154595464453698,0,1273,7724.452308814085'
Coles Express Alexandria_P98,'-12.254779390062849,9.363993551705042e-23,0,1273,6318.320156498725'
Coles Express Ultimo_P98,'-12.3186267759665,6.83083065925603e-23,0,1273,6449.553304729894'
Coles Express Waterloo_P98,'-4.619821751009326,0.00011872862046549168,2,1271,6343.247220702038'
Coles Express Woolloomooloo_P98,'-4.172629114299262,0.0007328309141653699,0,1273,6291.803549665097'
Shell Ballina_P98,'-8.036405039556744,1.8975461314163062e-12,3,1270,3336.649148784056'
Shell Bingara_P98,'-9.811944092357106,5.626608666301196e-17,0,1273,914.1285083330363'
